Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0.6351013,16,3,3,1,0.6997714,0.9463032,0.3545034,283.623,167.6366,153.0797,0.7163943,0.8535138,0.29004,-4.308898,9.112231,-8.677903,Nothing
0.6434631,16,3,3,1,0.7003446,0.9465031,0.3542709,283.7549,165.6248,154.8693,0.7120246,0.8590226,0.2861228,-4.930668,8.974085,-7.988008,Nothing
0.6517029,16,3,3,1,0.7004347,0.9468799,0.3538302,283.8478,166.0682,154.4616,0.7121805,0.8587799,0.2865296,-4.885898,8.928167,-8.062805,Nothing
0.6600952,16,3,3,1,0.7011037,0.9475154,0.353242,284.188,164.7261,155.6054,0.7083201,0.8642195,0.2830719,-5.449883,8.767673,-7.41867,Nothing
0.6688232,16,3,3,1,0.7010266,0.9476163,0.3530822,284.2325,165.1331,155.2325,0.7087657,0.864249,0.2833871,-5.379899,8.768727,-7.425796,Nothing
0.6766052,16,3,3,1,0.7014781,0.9489002,0.3520831,284.5951,164.7287,155.4874,0.7054827,0.8697554,0.2803585,-5.841122,8.591039,-6.858697,Nothing
0.6856384,16,3,3,1,0.701919,0.9501472,0.3510705,284.8869,164.3951,155.6899,0.7025641,0.8752095,0.2777502,-6.230841,8.389144,-6.316619,Nothing
0.6933899,16,3,3,1,0.7017063,0.950475,0.3511458,284.79,164.9505,155.1359,0.7029135,0.8752394,0.2777526,-6.201777,8.42682,-6.355593,Nothing
0.7015381,16,3,3,1,0.701788,0.9525061,0.3506287,284.8646,165.719,154.2056,0.7003195,0.8799741,0.2760033,-6.547325,8.239183,-6.014954,Nothing
0.710022,16,3,3,1,0.7017143,0.9528061,0.3504139,284.7906,166.3195,153.6842,0.7005784,0.8796086,0.2762392,-6.495883,8.235541,-6.107761,Nothing
0.7184448,16,3,3,1,0.7021801,0.9548308,0.3493049,284.8848,167.3931,152.6597,0.6979898,0.8838192,0.2747303,-6.797676,7.98295,-5.843033,Nothing
0.7264709,16,3,3,1,0.7024722,0.9549483,0.3488003,284.8786,167.804,152.443,0.6980428,0.8828727,0.2755234,-6.723627,7.897587,-5.999047,Nothing
0.7348633,16,3,3,1,0.7032096,0.9568955,0.3471931,284.9968,169.0505,151.425,0.6955279,0.8863721,0.2744732,-6.964048,7.586436,-5.826172,Nothing
0.7431335,16,3,3,1,0.7039732,0.956682,0.346204,285.0408,169.3148,151.5423,0.6955757,0.8862044,0.2746702,-6.902079,7.475774,-5.849616,Nothing
